"fetched_at_utc","station_id","name","lat","lon","capacity","address","post_code","region_id"
"2026-09-20T15:40:54","PIB:Station:1883","Jaunweg - Bern",46.967163,7.450031,50,"Jaunweg 1","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1885","Rabbentalstrasse - Bern",46.9522,7.4474373,50,"Rabbentalstrasse 72","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1886","Lagerweg - Bern",46.956493,7.4454317,50,"Lorrainestrasse 20","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1887","Grimselstrasse - Bern",46.963017,7.4454265,50,"","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1888","SBB Hilfikerstrasse - Bern",46.96845,7.4624267,50,"Wankdorfallee 5","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1889","Weyermannshaus Bad - Bern",46.947742,7.4035697,50,"Stöckackerstrasse 9","3027","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1890","Bahnhof Stöckacker - Bern",46.946663,7.400752,50,"Untermattweg 36","3027","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1891","Bethlehem Säge - Bern",46.947063,7.3957644,50,"Looslistrasse 81","3027","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1892","Bethlehem Kirche - Bern",46.949066,7.3933387,50,"Murtenstrasse 261a","3027","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1893","Melchiorstrasse - Bern",46.952374,7.3914895,50,"Kasparstrasse 15a","3027","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1894","Tscharnergut - Bern",46.948975,7.3882294,50,"Waldmannstrasse 32A","3027","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1895","Fellerstrasse - Bern",46.946945,7.388947,50,"Fellerstrasse 28","3027","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1896","Holenacker - Bern",46.94862,7.3827505,50,"Holenackerplatz 1","3027","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1901","Bethlehemstrasse  - Bern",46.94425,7.399471,50,"Bethlehemstrasse 110a","3018","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1902","Schwabstrasse - Bern",46.943817,7.3955793,50,"Schwabstrasse 70","3018","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1903","Schwabgut - Bern",46.94547,7.3928075,50,"Bümplizstrasse 69","3018","PIB:Region:41"
